,0
1765,think considering deployment solution support python platform l unix crowd desirable mac pc user apt using commercial mua unlikely offer hooking ability least easily mentioned elsewhere even l unix user may find mua solution easier use getting added mta sysops make programmer look like flaming liberal notion solution window outlook guido described client server client side pop3 imap mapi fetching going implement pop3 initially potentially several host spamhams incoming mail put one file per message qmail style mua access ethunk server obtain ham spam retained ethunk simple viewer would used manual oversight spam ultimate rejection training spam filter ham go forward used training next mua fetch ethunk would sit timer always online user clear support dialup user scheme outbound mail would use direct path mua mta hopefully muas split host fetch send url imo end user likely intested n way classification available simple viewer could enhanced support viewing via folder least outlook nightmare would use mua according recent reading best n way classifier us something called support vector machine svm 5 8 accurate naive bayes nb wonder focus spambayes ought classifier leaf fetching feeding message auxillary code way could dropped whatever harness suited user situation david leblanc seattle wa usa
1766,wonder focus spambayes ought classifier leaf fetching feeding message auxillary code way could dropped whatever harness suited user situation see reason restrict project developing classifier leave deployment others attempt deployment real world surely provide additional feedback classifier guido van rossum home page
1767,06 september 2002 tim peter said note header name case insensitive one different mime version similarly header list ignoring case may may help experiment decide plausible case significant particular spam mailing package generates unusual case particular clueless spammer misconfigures package case header definitely helpful spamassassin rule header like date subject get point greg greg ward god omnipotent omniscient omnibenevolent say right label
1768,greg case obvious strong proponent filtering greg junk mail early possible ie right smtp data greg command completed filtering spam mua seems greg stupid time get mua spammer greg already stolen bandwidth two problem see filtering early everyone receiving email via server contribute ham stew making bayesian classification le effective given false positive absolutely put mail somewhere simply delete also like tmda ish business replying msg say really get message put extra burden correspondent individual would prefer put spammish message somewhere review anonymous sysadmin might trust personal email nothing greg personally prefer manage stuff user agent level bandwidth heck lot cheaper time skip
1769,friday 06 september 2002 20 48 skip montanaro wrote greg case obvious strong proponent filtering greg junk mail early possible ie right smtp data greg command completed filtering spam mua seems greg stupid time get mua spammer greg already stolen bandwidth two problem see filtering early everyone receiving email via server contribute ham stew making bayesian classification le effective given false positive absolutely put mail somewhere simply delete also like tmda ish business replying msg say really get message put extra burden correspondent individual would prefer put spammish message somewhere review anonymous sysadmin might trust personal email nothing greg personally prefer manage stuff user agent level bandwidth heck lot cheaper time see reason approach could used mta level filtering would need use different corpus one would contain illegal otherwise commonly unapproved material group people using mta sure approach would significantly reduce mail traffic first step without giving false positive mua corpus would personally trained although like option loadable corpus merge functionality harri p joined list pardon thought hashed
1770,guido program act pop client pop server configure telling real pop server point mail reader pop server localhost receives connection connects remote pop server read mail give non spam fyi never trust scheme tolerance false positive indeed nothing try block spam email account reason deliver suspected spam spam folder instead love
1771,program act pop client pop server configure telling real pop server point mail reader pop server localhost receives connection connects remote pop server read mail give non spam fyi never trust scheme tolerance false positive indeed nothing try block spam email account reason deliver suspected spam spam folder instead love another config parameter filter could add header file subject like style guido van rossum home page
1772,guido know big pickle would maybe loading time fine maybe marshalling test train 7 000 msg binary pickle database approaching 10 million byte done anything try reduce size know specific problem area example character 5 gram long word containing high bit character generates lot database entry suspect approximately worthless otoh adding header increase size let call 10 meg
1773,guido taker esr bogofilter packaged spamassassin perl bayes filter advertised slashdot wrt last small pile window file along cmdline program one pop3 proxy currently email server named say user name timmy change email reader say server user name server timmy way proxy pick real server user name mail reader tell user name n way classifier like ifile way insert x text classification one class name picked header email passing mail reader user presumably fiddle mail reader look header something even outlook handle much user responsible generating text file appropriate example class message running cmdline tool train classifier
1774,missed part said spam kept ethunk viewable simple viewer final disposition course outbloat could fire pythonwin stuff spam junk email folder loose ability retrain user classified ham spam david leblanc seattle wa usa original message spambayes bounce whisper mailto spambayes bounce whisper behalf tim peter sent friday september 06 2002 12 24 spambayes subject spambayes deployment guido program act pop client pop server configure telling real pop server point mail reader pop server localhost receives connection connects remote pop server read mail give non spam fyi never trust scheme tolerance false positive indeed nothing try block spam email account reason deliver suspected spam spam folder instead love spambayes mailing list spambayes
1775,tim peter like guido know big pickle would maybe loading time fine maybe marshalling test train 7 000 msg binary pickle database approaching 10 million byte paltry 3000 message training set make 1mb 1e6 byte pickle checked optionally let write stuff dbm file message base dbm file weighs hefty also take longer write using database real user sys using pickle real user sys piii know supposed proc cpuinfo say comparison spamoracle currently gold standard mind least speed data blaze along real user sys data file appears marshalled hash 448kb however compiled caml us much simpler tokenizing algorithm written lexical analyzer ocamllex never able outperform something keep mind though statistic yet scanning unknown message actually database blow pickle water score every word sure fair test case 21mb per user probably large 10mb questionable hand pickle compressed well gzip shrinking neale
1776,tim test train 7 000 msg binary pickle database approaching 10 million byte shrink 2 million byte though delete wordinfo record spamprob exactly equal unknown spamprob record needed scoring unknown word get made probability unknown spamprob record needed training noted scoring database leaner part bloat due character 5 gram ing part due database brand new never cleaned via clearjunk part due plain evil gremlin
1777,tim peter like tim test train 7 000 msg binary pickle database approaching 10 million byte shrink 2 million byte though delete wordinfo record spamprob exactly equal unknown spamprob record needed scoring unknown word get made probability unknown spamprob record needed training noted scoring database leaner pretty good wonder much better could using custom pickler checked little dbm file found lot would call bloat import anydbm hammie db db neale len db neale ccopy reg n reconstructor nq x01 cclassifier nwordinfo nq x02c builtin nobject nq x03ntrq x04 ga xce xbc xfd x94 xbbok x00k x00k x00g xe0 x00 x00 x00 x00 x00 x00tb 106 neale len neale wordinfo 0 0 0 42 ignoring fact many zero pickled version wordinfo object twice large string representation could get 50 decrease size using string representation instead pickle right something logic seems wrong see maybe pickling good heterogeneous data type every value big dictionary going type ton redundancy guess explains compressed well neale
1778,remove jeremy tim yuck got two embedding email address tim bottom suggests tagging email address cc header handled differently message body skip
1779,remove jeremy tim yuck got two embedding email address tim bottom suggests tagging email address cc header handled differently message body know whether suggests would tagged differently cc tagging right tagging address example token would look like email addr mit instead email addr mit appear email like thingie found body whether email address stuck one blob split something tested
1780,binary pickle classifier training first spam ham corpus pair record spamprob unknown spamprob purged zip file half meg jeremy would interesting tried data false negative rate across 4 test set run
1781,tp tim peter writes false positive rate 0 3 finally scrub bunch previously unnoticed spam inbox collection 1100 message tp mean trained 1100 total collection 1100 message trained 1100 5 message tp guess good position start adding tp header analysis though example easy start tp would uncomment header counting line tokenize tp look anthony likely valuable thing tp missing special parsing tagging received tp header tried anthony stuff make appreciable difference could see staring false negative rate number big enough quick eyeball suffices tried dirt simple tokenizer header tokenize word header emitted like hdr word worked well received date header helped classifier discover spam old ham new tried slightly complex one skipped received data x contained timestamps also skipped x vm header mail reader added class mytokenizer tokenizer skip received 1 date 1 x 1 def tokenize header self msg k v k k x vm continue w subject word v tokenize word w yield k moderately better false negative rate 7 21 test performed far versus 11 28 previous test run used timtest header tokenizer interesting see best descriminators ham discriminator single spam indicator list discriminator header field one thing note presence mailman generated header strong non spam indicator match intuition got awful lot mailman generated mail list pretty good surpressing spam thing get lot ham people use xemacs probably barry guido fred one final note look like many false positive people never met question shakespeare often start stuff like dear sir madam may please take precious time ask help find solution problem worrying greatly old science student guess read lot like spam jeremy 238 ham 221 spam false positive false negative new false positive new false negative best discriminator x mailscanner clean 671 x spam status rep 679 delivered skip 10 691 x mailer lucid 699 x mailer xemacs 699 x mailer patch 699 x mailer 709 x mailscanner found 716 cc 718 750 reference skip 1 20 767 rossum 795 x spam status skip 10 825 van 850 http0 zope 869 email addr zope 883 895 jeremy 902 zope 984 list archive skip 10 1058 list subscribe skip 10 1058 list unsubscribe skip 10 1058 1098 return path 1115 wrote 1129 jeremy 1150 email addr python 1257 x mailman version 1311 x mailman version 101270 1395 python 1401
1782,neale pickett hacked something turn wordinfo tuple pickling wordinfo getstate turn tuple back wordinfo right unpickling likewise wordinfo setstate without hack database 21549056 byte 9945088 byte 50 saving bad optimization sure suspect storing individual wordinfo pickle administrative pickle bloat due happen pickle entire classifier instance directly question would painful ditch wordinfo favor straight tuple list rather although making tuple nice side effect forcing play nice dbdict class hope sort optimization far distant goal project even though say diff attached comfortable checking think healthy uncomfortable checking thing xxx kludge kludge kludge comment since really like work rather get rid wordinfo guess prof point interested optimizing anything yet get many benefit ease working utterly vanilla python instance object lot code pick apart display analysis purpose people tried code yet still many question see jeremy writeup disappointing first time experience today let keep easy possible modify desparate save memory write subclass people free vote direction course
1783,barry interesting thing test discriminate word differently line start catch style like first occurance line eliminate html give mod happy test may worth trying un false positive nigerian scam quote sanity world even original poster would glad kneejerk response blocked otoh know great many msg usenet nothing except quote previous post add one line comment remove quoted section may content left judge except header see nudging stats either direction way find sure write code
1784,jeremy hylton total collection 1100 message trained 1100 5 message reading trained 220 spam 220 ham le 10 size training set using please try experiment train 550 test 550 time making random split time long discover directory individual file lot easier work make kind thing trivial
1785,jeremy total collection 1100 message trained 1100 5 message lot training data picked random subset corpus got much better behavior output f p rate per run left column f n rate right training data ham set1 data spam set1 220 ham 220 spam training data ham set2 data spam set2 220 ham 220 spam training data ham set3 data spam set3 220 ham 220 spam training data ham set4 data spam set4 220 ham 220 spam training data ham set5 data spam set5 220 ham 220 spam total false po 4 total false neg 29 another full run another randomly chosen disjoint 220 set much score distribution also quite sharp ham distribution run 74 item 4381 3 3 1 0 0 1 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 2 0 2 spam distribution run 73 item 13 0 4 5 0 2 1 1 2 1 0 1 0 3 0 0 0 0 1 3 16 0 0 0 1 0 2 1 1 0 1 0 3 2 1 2 2 4 4 4323 hard say whether need better ham better spam suspect better spam 18 30 powerful discriminator html related spam indicator top 10 overall 312
1786,note header name case insensitive one different mime version similarly header list ignoring case may may help experiment decide plausible case significant particular spam mailing package generates unusual case particular clueless spammer misconfigures package found made difference testing brilliance anthony count scheme requires thought fooled header line evenly distributed across spam ham turn worthless indicator prob near harm zactly started clever clever thing always stuff found stupid rock beat smart scissors every time anthony baxter never late happy childhood
1787,look like ham corpus large jeremy header spam corpus large one interestingly one highest value spam indicator name mail host spam delivered line mail info pretty much dead cert filter anthony baxter never late happy childhood
1788,jeremy hylton wrote tried dirt simple tokenizer header tokenize word header emitted like hdr word worked well received date header helped classifier discover spam old ham new heh hit problem way round first started playing collected spam week two mixed randomly selected message mail box course instantly picked received 2001 non ham curse smart software still probably good thing note documentation software collecting spam ham make sure try collect source anthony anthony baxter never late happy childhood
1789,course instantly picked received 2001 non ham spam sigh anthony baxter never late happy childhood
1790,seem two driver classifier neale pickett original according kept date anything covered useful feature yet copy u calculates spamness entire mailbox feature easily copied also large collection tokenizers rule sure interesting therefore propose nuke adding u feature anyone imagine skip barry might stake tim seems moved code working module guido van rossum home page
1791,actually like neale x spam disposition header wonder maybe choose something different prefix x spam people confuse spamassassin whose header begin prefix also sort version information would useful perhaps cv version number classifier module could tacked skip
1792,skip montanaro wrote actually like neale x spam disposition header wonder maybe choose something different prefix x spam people confuse spamassassin whose header begin prefix think fine general long one check anything put test corpus alternately whatever chosen ignored tokenizer know mail host interlink run sa also run set rule score want spam filter getting messed upstream spam filter
1793,guido therefore propose nuke adding u feature guido anyone imagine skip barry might stake guido tim seems moved code working guido module argument skip
1794,frequency laptop disk chirp indication say hammie 3 5x faster spamassassin skip
1795,listed developer sf spambayes cv module checked using sf username unable write repository cv complains cv add cv server aborted add requires write access repository thought skip
1796,tim peter like sure suspect storing individual wordinfo pickle administrative pickle bloat due happen pickle entire classifier instance directly yeah exactly realize incurring administrative pickle bloat way specifically trying make thing faster smaller storing individual wordinfo pickle anydbm dict keyed token result almost 50 time faster score message one per run procmail v however say place goal project make fastest smallest implementation guess hold performance tuning goal start point direction second probably fast enough people use procmailrc desparate save memory write subclass probably get antsy trying think way sneak administrative pickle boat casual conversation neale
1797,yeah exactly realize incurring administrative pickle bloat way specifically trying make thing faster smaller storing individual wordinfo pickle anydbm dict keyed token result almost 50 time faster score message one per run procmail v worthwhile however say place goal project make fastest smallest implementation guess hold performance tuning goal start point direction second probably fast enough people use procmailrc maybe batch message using fetchmail ask adding second per message batch 50 untypical feel like real wait guido van rossum home page
1798,skip montanaro listed developer sf spambayes cv module checked using sf username unable write repository cv complains cv add cv server aborted add requires write access repository thought really try half developer spambayes project missing permission ran thru checked every damned box clicked every damn dropdown list could find far sf concerned sitting god right hand still work suggest upgrade win98
1799,tim half developer spambayes project missing tim permission ran thru checked tim every damned box clicked every damn dropdown list could tim find far sf concerned sitting god right tim hand still work suggest upgrade tim win98 time upgrade guess cv add cv server aborted add requires write access repository try checkout new directory
1800,skip montanaro anthony baxter accordingly wrote mostly ripoff something someone else posted python dev within last week strip sa generated header unless grown senile tonight got anthony begin please check project add short blurb
1801,choose something different prefix x spam people confuse spamassassin neale x spambayes disposition x hammie disposition neale classifier front end kinda like hammie front end first suspect rule front end roost
1802,skip try checkout new directory help least think mean time bed skip
1803,accordingly wrote mostly ripoff something someone else posted python dev within last week strip sa generated header tim unless grown senile tonight got anthony begin tim please check project add short blurb tim raring go write cv
1804,guido van rossum like maybe batch message using fetchmail ask adding second per message batch 50 untypical feel like real wait yeesh sound like need something kick score entire mailbox wait second wanted spare memory might get better performance case using pickle store since go disk boy ever go disk think anything obvious speed thing loaded memory though profiler territory profiling exactly kind optimization said going neale
1805,maybe batch message using fetchmail ask adding second per message batch 50 untypical feel like real wait yeesh sound like need something kick score entire mailbox wait second wanted spare memory might get better performance case using pickle store since go disk boy ever go disk think anything obvious speed thing loaded memory though profiler territory profiling exactly kind optimization said going could server mode someone described sa option guido van rossum home page
1806,tp tim peter writes tp jeremy hylton total collection 1100 message trained 1100 5 message tp reading trained 220 spam tp 220 ham le 10 size tp training set using please try experiment train tp 550 test 550 help lot result stock tokenizer training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam total false po 139 total false neg 970 result tokenizer look header except date received x training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam total false po 97 total false neg 738 safe conclude avoiding cleverness header good thing tp time making random split time tp long discover directory individual file tp lot easier work make kind tp thing trivial looked using need many file make arbitrary selection message mbox report result done jeremy
1807,tp reading trained 220 spam tp 220 ham le 10 size tp training set using please try experiment train tp 550 test 550 jeremy help lot possibly checked change overnight getting rid mincount gave major improvement f n rate independent tokenization result stock tokenizer unsure stock tokenizer mean example might mean training home jeremy mail spam 8 644 ham 557 spam training home jeremy mail spam 0 644 ham 557 spam training home jeremy mail spam 3 644 ham 557 spam training home jeremy mail spam 0 644 ham 557 spam total false po 139 total false neg 970 note rate remain much higher got using 220 ham 220 spam remains mystery result tokenizer look header except date received x unsure mean example look might mean enabled anthony count gimmick tokenizing training home jeremy mail spam 8 644 ham 557 spam training home jeremy mail spam 0 644 ham 557 spam training home jeremy mail spam 3 644 ham 557 spam training home jeremy mail spam 0 644 ham 557 spam total false po 97 total false neg 738 safe conclude avoiding cleverness header good thing since know exactly guess seemed show something clever header helped number better number right assuming override header routine call base header missing carefully tested treatment header field adding many dozen header field question adding header field help header testing corpus add header without getting major benefit bogus reason apart said skipping received several account may valuable header field meaning header skipping reason explained offline week two ago neil schemenauer reported good result scheme ip r 1 3 1 3 1 3 1 3 header received ip ip header part n range 1 5 yield received part n make lot sense checked left disabled
1808,guido perhaps useful would tim could check pickle generated one training run others see tim training data performs corpus yesterday seems like nobody bit case uploaded new version since mincount went away unknown spamprob much le likely almost nothing pruned away file 5x larger could also starting point self contained distribution got start something training python list data seems good anything else way know anything someone try
1809,clarification first test result using header unmodified training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam total false po 139 total false neg 970 second test result using header us header except received data x training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam training 644 ham 557 spam total false po 97 total false neg 738 jeremy
1810,guido perhaps useful would tim could check pickle generated one training run others see tim training data performs corpus tim yesterday seems like nobody bit downloaded played bit time anything systematic correctly recognized spam slipped sa also identified spam everything inbox mime structure html part several message saved zope geek list happened using mime html guess retrain yes told case uploaded new version since mincount went away unknown spamprob much le likely almost nothing pruned away file 5x larger try time guido van rossum home page
1811,get far road people think creating spambayes package containing classifier tokenizer minimize clutter site package skip
1812,jeremy hylton clarification pretty much guessed thanks one try first test result using header unmodified second test result using header us header except received data x try latter call base tokenize header
1813,get far road people think creating spambayes package containing classifier tokenizer minimize clutter site package early imo mean leave various tool package perhaps use barry trick email package making package toplevel dir distribution rather requiring extra directory level package subdir distro guido van rossum home page
1814,guido classifier pickle sf downloaded played bit time anything systematic cool correctly recognized spam slipped sa ditto also identified spam everything inbox mime structure html part several message saved zope geek list happened using mime html know strangest implied claim hate mime independent html example spamprob content type text plain pickle content type multipart alternative get killer clue one bit good content cancel wrt hating html possibility include really something mime html pure html multipart alternative text plain part tag getting stripped pickled classifier despises hint html due heritage multipart alternative text plain part latter contain text text html part example anthony reported perhaps text plain part say something like hmtl message 2 would easy add optional bool argument tokenize meaning even pure html strip tag anyway fact like default true extreme hatred html tech list strike umm extreme guess retrain yes told would different experiment certainly curious see whether jeremy much worse mine error rate typical aberrant
1815,also identified spam everything inbox mime structure html part several message saved zope geek list happened using mime html know strangest implied claim hate mime independent html example spamprob content type text plain pickle content type multipart alternative get killer clue one bit good content cancel reran experiment new seem make difference clue two spam inbox output format sort clue probability first two number message number overall probability line folded 66 facility speaker stretch thursday young mistake growth content type text plain please capital series subject company content type text html fee money 8 00am 9 00am content type image gif content type multipart alternative attend company content type type multipart alternative content type multipart related economy economy 6 content type spam clue one related html despite html alternative 12 spam clue 6 ham clue announcement public event building owner text part html afaict language may spammish content type clue help btw make wonder wisdom keeping punctuation economy economy seem deserve two counted clue 76 near alexandria conn adam email addr panix poked thorugh though reflect wednesday content disposition inline contacting sold financially price rate discount hotel hotel hotel night plaza rate rate room season station subject hotel full message received header stripped apology ziggy david date fri 06 sep 2002 17 17 13 0400 adam turoff subject hotel information guido davida message id mime version content type text plain charset u ascii content disposition inline user agent mutt looking hotel poked around expedia availability march 26 29 4 night wednesday thorugh saturday also started contacting hotel group rate group rate better regular rate require signing contract minimum number room sold someone financially responsible unbooked room hotel le responsive radission barcelo hotel dupont circle 125 night 99 weekend state plaza hotel foggy bottom near gwu 119 night 99 weekend hilton silver spring near metro suburban md 99 hight 74 weekend windsor park hotel conn ave dupont circle woodley park metro station 95 night need car econo lodge alexandria near metro suburban va 95 night hand picked list ignored anything 125 night even though really well situated hotel nearby higher rate also sure much price reflect expedia discount vouch hotel either also found season dc hotel mid june mid september mid november mid january one mime structure html even content disposition counted non spam clue got f p ed many hospitality related money related term surprised 125 night similar clue several spam clue duplicated different variation hotel hotel hotel subject hotel rate rate wrt hating html possibility include really something mime html pure html multipart alternative text plain part tag getting stripped pickled classifier despises hint html due heritage multipart alternative text plain part latter contain text text html part example anthony reported perhaps text plain part say something like hmtl message 2 would easy add optional bool argument tokenize meaning even pure html strip tag anyway fact like default true extreme hatred html tech list strike umm extreme also looked detail f p geek traffic first one doozie term right lot html clue apparently ignored multipart mixed two part brief text plain part containing one two sentence mondo weird url employer generated spammish boilerplate second part html taken directly url clue 43 main later lot paul 1995 2000 adopt apps command dejanews discipline duct email addr digicool email name paul everitt exist forward framework email addr digicool email name 1 22 http 1 24 http 1 57 http 1 http 1 author http 1 fmt http 1 getdoc http 1 pr http 1 product http 1 query http 1 search http 1 viewthread http 1 xp http 1 zope inventing jsp jsp logic map neo newsgroup object popup probable query query resizes servlet skip 20 stem subject jsp suck templating tempted url usenet usenet wrote x mailer mozilla en window nt u zope 000000 cc0000 ff3300 ff6600 ffffff 0pt 0px 10px 11pt 12px 18pt 18px 1pt 2px 640 8pt
1816,also looked detail f p geek traffic first one doozie term right lot html clue apparently ignored clue loaded snippet unique html like meant say clue cancelled clue wrong look grokked part code yet one way 16 clue seems classifier basically ended counting way clue others made list thought looking clue value apparently found none exactly sure set record longest list cancelling extreme clue happened longest one quite similar one wonder anything learn looking clue html heavily marked html ad sidebar body text serious discussion oo soft coding lot highly technical word clue including zope zeo clue mean scheme ran anything interesting look adding header line cure minable unmined header line corpus left start different corpus make progress seventh similar scanned bunch got bored either first form brief text url followed quoted html website text plain html tag stripped still confused part sorry following structure multipart mixed text plain brief text plus url text html long html copied website guess get click mail page browser html tag getting stripped remains biggest mystery still seems confused jeremy use trained classifier pickle trained classifier scratch corpus entirely different kind experiment one trying indeed one far report result trying pickle email never expected work well much bigger mystery jeremy got relatively worse result training one far report result experiment think still corpus size guido van rossum home page
1817,guido meant say clue cancelled clue wrong look grokked part code yet one way 16 clue seems classifier basically ended counting way clue others made list thought looking clue value apparently found none exactly brief discussion definition max discriminator clue prob min spamprob max spamprob saved min max list clue fed nbest heap shorter min max list cancel number clue longer list whatever remains longer list anything fed nbest heap max discriminator case max discriminator clue enter final probability calculation min max list go list clue else clue massive cancellation occurring massive cancellation may yet turn hook signal manual review needed specific case excess clue longer max spamprob list pushed everything else nbest heap see anything adding special list outcome faced many clue often coin toss whichever flavor happened appear max discriminator 2 1 time first determined final outcome sure set record longest list cancelling extreme clue happened longest one quite similar one beat tokenization scheme fold case ignores punctuation strip trailing word save word bigram word unigrams turned low probability long spam list 410 clue 125 clue yikes wonder anything learn looking clue html heavily marked html ad sidebar body text serious discussion oo soft coding lot highly technical word clue including zope zeo matter often say zope get one clue ditto zeo contrast html markup many unique word get btw clear case assumption conditionally independent word probability utterly bogus probability appears message highly correlated prob appearing treating independent naive bayes grossly misjudges probability appear thing get return something actually computed read html section start investigating would work best mailing list hosted html decoration far strong clue justify ignoring specific context done anything geared toward personal email including case non mailing list email happens go prefer strip html tag everything last time tried still bad effect error rate corpus full test result without html tag stripping included html comment block comment block also say xxx another way found slash f n rate decision xxx strip html html msg revisited since done several thing gave significant f n rate reduction test minable unmined header line corpus left almost apart mime decoration appear header body like content type header line base tokenizer look subject x mailer organization start different corpus make progress would need different data yes ham polluted mailman header decoration may may able clean fudging data mortal sin changed byte far spam polluted header clue fellow collected particular skip received header suspect going valuable real life example even catch undisclosed recipient header sorry following structure multipart mixed text plain brief text plus url text html long html copied website ah explains html tag get stripped offer add optional argument tokenize get stripped get glossed third time would feel much like loss seems confused jeremy use trained classifier pickle trained classifier scratch corpus think still corpus size reported test ran random sample 220 spam 220 ham corpus mean training set size well predicting set size harm error rate error rate saw still much better jeremy reported using 500 ah full test run finished tokenization scheme fold case ignores punctuation strip trailing word save word bigram word unigrams code tokenize everything body lastw w word text n len w make sure range match tokenize word 3 n 12 w 1 w w 1 yield w lastw yield lastw w lastw w elif n 3 lastw tokenize word w yield word r w x80 xff least doubled process size done helped f n rate significantly probably hurt f p rate f p rate low 4000 ham per run confident change small absolute magnitude single message f p table false positive percentage tied lost 0 lost lost 0 lost tied lost lost tied lost 0 lost 0 lost tied lost lost 5 time tied 4 time lost 11 time total unique fp went 13 21 false negative percentage tied lost lost tied lost 15 time tied 2 time lost 3 time total unique fn went 106 94
1818,tim prefer strip html tag everything last time tried still bad effect error rate corpus full test result without html tag stripping included html comment block comment block also say xxx another way found slash f n rate decision xxx strip html html msg revisited since done several thing gave significant f n rate reduction test ala stripping html tag text still hurt f n rate test data false positive percentage tied tied lost tied tied tied lost tied lost tied tied tied tied tied tied tied tied 3 time tied 14 time lost 3 time total unique fp went 13 11 false negative percentage lost tied lost lost lost tied lost lost lost lost lost lost lost lost lost 5 time tied 2 time lost 13 time total unique fn went 106 122 last time tried see comment f n rate stripping tag ranged median made ton progress f n rate since mere presence html tag still remains significant clue traffic left comment xxx another way found slash f n rate decision xxx strip html html msg revisited want take focus away traffic say effect html stripping would suitable test data measure
1819,get far road people think creating spambayes package containing classifier tokenizer minimize clutter site package guido early imo mean leave various tool guido well mentioned classifier tokenize thought importable module rest represent script level code right guido package perhaps use barry trick guido email package making package toplevel guido dir distribution rather requiring extra directory guido level package subdir distro would perfect tried naive way last night wound file package intent skip
1820,result got three set spam ham 500 message set happens enable latest received header code false positive percentage tied 2 time tied 1 time lost 0 time total unique fp went 19 17 false negative percentage lost 2 time tied 0 time lost 1 time total unique fn went 43 28 anthony header counting code seem help neil
1821,neil schemenauer result got three set spam ham 500 message set happens enable latest received header code still got summary file please cv try running process generalizing managed make skip half line got n set get n 2 n pair error rate 3 set get 6 pair f n rate 6 pair f p rate false positive percentage tied 2 time tied 1 time lost 0 time total unique fp went 19 17 false negative percentage lost 2 time tied 0 time lost 1 time total unique fn went 43 28 look promising getting 6 line output block would give clearer picture course anthony header counting code seem help help test data much
1822,neil trained classifier using 3 set 500 ham spam missing half test run result due bug since fixed custom fiddling figure 3 reported run false positive percentage total unique fp 19 false negative percentage total unique fn 43 total unique figure count 6 run individual run fp fn percentage missing 3 run jeremy reported custom fiddling figure 4 set 600 ham spam false positive percentage total unique fp 139 false negative percentage total unique fn 970 thing clearly working much better neil reported significant improvement f n f p rate folding header line neal added received analysis base tokenizer header analysis jeremy skipped base tokenizer header analysis completely added base subject line like case folded tokenization almost header line excepting received data x suspect starting x vm try 5 random pair 500 ham 500 spam subset test data see false positive percentage total unique fp 10 false negative percentage total unique fn 36 much closer neil saw still look better another run disjoint 5 random pair looked much total unique fp rose 12 fn fell 27 third run another set disjoint 5 random pair likewise fp 12 fn pretty confident going matter random subset 500 take data hard conclude anything given jeremy much worse result line neil result suspect tuned algorithm statistical quirk corpus
1823,tim one effect getting rid mincount latch strongly rare clue unique corpus trained one trained ham say gryndlplyx followup new ham quote may systematic bias testing procedure real life msg come ordered time say thread span n message testing setup train random sampling throughout whole lifetime test likewise new ham middle thread get benefit trained msg appeared real life quite plausible f p rate would rise without effect real life given time number ham thread starting life unusual trained data know little nothing
1824,greg ward case header definitely helpful spamassassin rule header like date subject get point across data cap date subject etc indeed appear spam collection otoh appear often le 1 spam message least one cap header line fighting sub 1 f n rate even rare clue help
1825,neale pickett spare memory might get better performance case using pickle store since go disk boy ever go disk think anything obvious speed thing loaded memory though box current system score 50 msg per second starting memory course drag waiting one full test run complete one score message 120 000 time train 30 000 time got urge speed optimization using email never notice drag guido bitch like hell waiting extra second 50 msg batch score bos bitch everything profiler territory profiling exactly kind optimization said going profiled yet suspect egregious hot spot 5 gram ing long word high bit character likely overly expensive happens happen often approach non english language suck anyway point speeding something ought replaced entirely
1826,guido seem two driver classifier neale pickett original according kept date seemed way ripped classifier think anyone touched anything covered someone else answer use gbayes hammie least yet useful feature yet copy u calculates spamness entire mailbox feature easily copied done right also large collection tokenizers rule sure interesting tokenizers truly trivial rewrite scratch interesting tiny spam ham collection gbayes also worthless self test feature anything except print result since became doctest ed verifies basic machinery actually delivers supposed deliver therefore propose nuke adding u feature 1 anyone
1827,curious subject line capitalization used indicator either percentage character cap percentage starting capital letter number word xx brad clements bkc 315 268 1000 315 268 9812 fax aol im bkclements
1828,brad clements curious subject line capitalization used indicator either percentage character cap percentage starting capital letter number word xx supply mod test eventually note tokenizer already preserve case subject line word experiment showed better folding case away specific context experiment also showed expectation preserving case everywhere make significant difference either error rate subject line special case
1829,tim peter wrote still got summary file please cv try running process generalizing managed make skip half line woops summary file regenerated using slightly different set data result enabling received header processing false positive percentage tied tied 4 time tied 2 time lost 0 time total unique fp went 17 14 false negative percentage tied tied 4 time tied 2 time lost 0 time total unique fn went 50 38 test set different tim email received account also set contains email sent mailing list use different address mailing list people cook idea happy test neil
1830,tim box current system score 50 msg per second starting memory course guess bothering get clock like 80 per second see 60 speedup without changing thing
1831,neil schemenauer woops summary file regenerated using slightly different set data result enabling received header processing false positive percentage tied tied 4 time tied 2 time lost 0 time total unique fp went 17 14 false negative percentage tied tied 4 time tied 2 time lost 0 time total unique fn went 50 38 test set different tim email received account also set contains email sent mailing list use different address mailing list enabling received header work even better f n section quick run 500 element subset tied tied lost 0 17 time tied 2 time lost 1 time total unique fn went 38 15 huge improvement wrong reason except entirely powerful discriminator whole database one training set became received unknown 881 got nothing bruceg right received also strong spam indicator across training set jealous people cook idea happy test neil using tokenizer generator whichever someone afraid header try adding header mix lieu header addition jeremy reported former
